零件品种,工艺数目,小车数量,零件数量,优势算法
1,5,2,20,EDA（批）
1,5,2,40,EDA（批）
1,5,2,60,EDA（批）
1,5,2,80,EDA（批）
1,5,2,100,EDA（批）
1,5,5,20,EDA（批）
1,5,5,40,EDA（批）
1,5,5,60,EDA（批）
1,5,5,80,EDA（批）
1,5,5,100,EDA（批）
1,5,10,20,就近预订
1,5,10,40,就近预订（批）
1,5,10,60,就近预订
1,5,10,80,就近预订（批）
1,5,10,100,就近预订
1,10,2,20,就近预订
1,10,2,40,就近预订（批）
1,10,2,60,就近预订（批）
1,10,2,80,就近预订（批）
1,10,2,100,就近预订（批）
1,10,5,20,EDA（批）
1,10,5,40,EDA（批）
1,10,5,60,EDA（批）
1,10,5,80,EDA（批）
1,10,5,100,EDA（批）
1,10,10,20,就近预订
1,10,10,40,就近预订（批）
1,10,10,60,就近预订（批）
1,10,10,80,就近预订（批）
1,10,10,100,就近预订（批）
5,5,2,20,EDA（批）
5,5,2,40,EDA（批）
5,5,2,60,EDA（批）
5,5,2,80,EDA（批）
5,5,2,100,EDA（批）
5,5,5,20,EDA（批）
5,5,5,40,EDA（批）
5,5,5,60,EDA（批）
5,5,5,80,EDA（批）
5,5,5,100,EDA（批）
5,5,10,20,就近预订*
5,5,10,40,就近预订（批）*
5,5,10,60,就近预订*
5,5,10,80,就近预订（批）*
5,5,10,100,就近预订（批）*
5,10,2,20,EDA（批）
5,10,2,40,EDA（批）
5,10,2,60,EDA（批）
5,10,2,80,EDA（批）
5,10,2,100,EDA（批）
5,10,5,20,EDA（批）
5,10,5,40,EDA（批）
5,10,5,60,EDA（批）
5,10,5,80,EDA（批）
5,10,5,100,EDA（批）
5,10,10,20,就近预订
5,10,10,40,就近预订（批）
5,10,10,60,就近预订（批）
5,10,10,80,就近预订（批）
5,10,10,100,就近预订（批）
10,5,2,20,EDA（批）
10,5,2,40,EDA（批）
10,5,2,60,EDA（批）
10,5,2,80,EDA（批）
10,5,2,100,EDA（批）
10,5,5,20,EDA（批）
10,5,5,40,EDA（批）
10,5,5,60,EDA（批）
10,5,5,80,EDA（批）
10,5,5,100,EDA（批）
10,5,10,20,就近预订
10,5,10,40,就近预订*
10,5,10,60,就近预订*
10,5,10,80,就近预订*
10,5,10,100,就近预订*
10,10,2,20,EDA（批）
10,10,2,40,EDA（批）
10,10,2,60,EDA（批）
10,10,2,80,EDA（批）
10,10,2,100,EDA（批）
10,10,5,20,EDA（批）
10,10,5,40,EDA（批）
10,10,5,60,EDA（批）
10,10,5,80,EDA（批）
10,10,5,100,EDA（批）
10,10,10,20,EDA（批）
10,10,10,40,EDA（批）
10,10,10,60,EDA（批）
10,10,10,80,EDA（批）
10,10,10,100,EDA（批）
