2, 20, 5560.00, 3936.67, 2.97, 2.18, 1.00, 0.99, 0.05, 0.07
2, 20, 5560.00, 6550.00, 2.97, 3.25, 1.00, 0.99, 0.05, 0.04
2, 40, 11720.00, 13404.00, 3.16, 3.35, 0.99, 1.00, 0.05, 0.04
2, 60, 18500.00, 20810.00, 3.32, 3.47, 1.00, 1.00, 0.04, 0.04
2, 80, 25540.00, 27797.00, 3.39, 3.48, 1.00, 1.00, 0.04, 0.04
2, 100, 33060.00, 35507.50, 3.51, 3.55, 1.00, 1.00, 0.04, 0.04
5, 20, 2120.00, 1803.67, 2.81, 2.12, 0.95, 0.82, 0.13, 0.15
5, 20, 2120.00, 2605.05, 2.81, 3.09, 0.95, 0.93, 0.13, 0.10
5, 40, 4860.00, 5633.10, 3.23, 3.42, 0.99, 0.97, 0.11, 0.10
5, 60, 7360.00, 8637.15, 3.32, 3.52, 0.98, 0.98, 0.11, 0.09
5, 80, 9940.00, 11486.10, 3.28, 3.54, 0.99, 0.98, 0.11, 0.09
5, 100, 12824.00, 14456.25, 3.37, 3.58, 0.99, 0.99, 0.10, 0.09
10, 20, 1162.00, 1280.33, 2.32, 1.97, 0.72, 0.54, 0.23, 0.21
10, 20, 1162.00, 1762.40, 2.32, 3.58, 0.72, 0.78, 0.23, 0.15
10, 40, 2487.00, 3150.55, 2.98, 3.49, 0.89, 0.87, 0.21, 0.17
10, 60, 3666.00, 4530.10, 3.11, 3.46, 0.92, 0.91, 0.22, 0.18
10, 80, 4710.00, 5849.85, 2.95, 3.41, 0.93, 0.92, 0.23, 0.18
10, 100, 6037.00, 7151.95, 3.01, 3.38, 0.93, 0.94, 0.22, 0.19
